"Date","Price","Open","High","Low","Vol.","Change %"
"30-08-2024","84,300","84,528","84,619","84,250","0.49K","-0.67%"
"29-08-2024","84,872","84,399","85,000","84,031","11.96K","1.07%"
"28-08-2024","83,977","85,373","85,418","83,650","14.85K","-1.96%"
"27-08-2024","85,658","85,350","85,969","85,044","13.20K","-0.01%"
"26-08-2024","85,668","84,924","86,170","84,852","13.91K","0.54%"
"23-08-2024","85,211","84,567","85,345","83,908","18.60K","1.76%"
"22-08-2024","83,736","85,021","85,191","83,345","18.84K","-1.33%"
"21-08-2024","84,863","84,780","85,275","84,250","12.28K","0.16%"
"20-08-2024","84,730","84,800","85,840","84,348","18.75K","0.46%"
"19-08-2024","84,338","83,750","84,795","83,406","15.04K","1.35%"
"16-08-2024","83,213","81,499","83,380","81,499","26.59K","3.94%"
"14-08-2024","80,061","81,012","81,766","79,800","23.09K","-1.22%"
"13-08-2024","81,049","81,168","81,475","80,556","15.85K","-0.70%"
"12-08-2024","81,624","80,425","81,725","80,232","20.69K","1.34%"
"09-08-2024","80,543","80,684","80,961","80,054","15.81K","-0.09%"
"08-08-2024","80,613","79,003","80,760","78,750","21.52K","2.17%"
"07-08-2024","78,900","79,340","79,897","78,821","17.06K","-0.91%"
"06-08-2024","79,623","79,822","80,057","78,311","24.05K","0.03%"
"05-08-2024","79,598","83,205","83,405","78,270","38.35K","-3.51%"
"02-08-2024","82,493","83,702","84,700","81,506","31.66K","-0.12%"
"01-08-2024","82,594","83,769","84,534","82,511","21.16K","-1.20%"
"31-07-2024","83,596","82,890","83,960","82,890","13.06K","1.13%"
"30-07-2024","82,659","81,421","82,800","81,115","14.58K","1.69%"
"29-07-2024","81,287","81,711","82,314","80,271","17.32K","-0.10%"
"26-07-2024","81,371","81,662","81,700","80,914","15.36K","0.05%"
"25-07-2024","81,331","84,501","84,501","80,666","30.93K","-4.20%"
"24-07-2024","84,894","85,200","85,735","84,662","14.36K","-0.03%"
"23-07-2024","84,919","88,995","89,015","84,275","43.34K","-4.80%"
"22-07-2024","89,203","89,641","89,744","88,500","13.93K","-0.49%"
"19-07-2024","89,646","91,441","91,441","89,270","21.58K","-2.32%"
"18-07-2024","91,772","92,300","92,670","91,391","15.22K","-0.18%"
"17-07-2024","91,942","93,402","93,575","91,620","20.19K","-2.04%"
"16-07-2024","93,860","92,773","94,054","92,380","18.82K","1.39%"
"15-07-2024","92,572","92,903","93,460","92,325","14.32K","-0.58%"
"12-07-2024","93,109","94,011","94,011","92,077","20.55K","-1.15%"
"11-07-2024","94,190","93,400","94,590","93,150","23.44K","1.46%"
"10-07-2024","92,832","93,073","93,780","92,680","11.87K","-0.15%"
"09-07-2024","92,969","92,799","93,691","92,367","14.50K","0.38%"
"08-07-2024","92,614","93,295","93,888","92,025","17.23K","0.39%"
"05-07-2024","92,250","90,499","92,496","90,223","0.11K","2.47%"
"04-07-2024","90,030","89,855","90,105","89,502","0.05K","0.15%"
"03-07-2024","89,894","88,286","90,367","88,278","0.25K","2.29%"
"02-07-2024","87,882","87,821","88,812","87,588","0.55K","0.41%"
"01-07-2024","87,522","86,980","87,848","86,709","4.28K","0.41%"
"28-06-2024","87,167","87,216","88,474","87,062","12.94K","0.14%"
"27-06-2024","87,048","86,564","87,690","86,451","9.40K","0.10%"
"26-06-2024","86,965","86,861","87,365","86,156","12.72K","0.03%"
"25-06-2024","86,937","88,837","89,156","86,710","15.41K","-2.32%"
"24-06-2024","88,999","89,176","89,455","88,727","7.90K","-0.16%"
"21-06-2024","89,139","91,252","91,680","89,077","20.38K","-2.76%"
"20-06-2024","91,665","89,989","91,850","89,989","21.41K","2.45%"
"19-06-2024","89,475","88,960","89,519","88,710","10.63K","0.44%"
"18-06-2024","89,080","89,365","89,427","87,851","18.78K","0.29%"
"17-06-2024","88,820","88,561","89,374","88,267","8.47K","-0.30%"
"14-06-2024","89,090","88,241","89,199","87,824","18.45K","1.26%"
"13-06-2024","87,983","88,946","89,323","87,363","29.96K","-2.72%"
"12-06-2024","90,445","89,250","91,190","88,905","23.84K","2.01%"
"11-06-2024","88,663","89,100","89,569","88,161","14.98K","-1.51%"
"10-06-2024","90,022","89,355","90,180","88,900","15.75K","1.05%"
"07-06-2024","89,089","93,628","94,610","88,727","43.09K","-5.04%"
"06-06-2024","93,816","90,839","93,900","90,839","24.26K","3.73%"
"05-06-2024","90,444","89,898","90,574","88,912","16.48K","0.88%"
"04-06-2024","89,659","92,107","92,772","89,251","24.24K","-2.58%"
"03-06-2024","92,033","91,125","92,430","89,992","23.90K","0.51%"
"31-05-2024","91,570","93,850","95,150","91,355","32.08K","-2.71%"
"30-05-2024","94,123","95,800","95,896","93,652","25.09K","-2.12%"
"29-05-2024","96,162","95,502","96,493","94,732","19.48K","0.75%"
"28-05-2024","95,448","94,708","96,220","93,325","26.51K","0.89%"
"27-05-2024","94,608","91,479","94,777","91,461","20.56K","4.48%"
"24-05-2024","90,548","90,562","91,450","90,366","13.83K","0.12%"
"23-05-2024","90,437","92,840","92,840","90,250","27.22K","-2.77%"
"22-05-2024","93,013","94,604","94,868","92,728","23.94K","-1.81%"
"21-05-2024","94,725","93,761","95,950","92,798","31.21K","-0.57%"
"20-05-2024","95,267","92,394","95,480","91,611","27.55K","4.66%"
"17-05-2024","91,024","87,110","92,536","86,900","27.87K","4.27%"
"16-05-2024","87,300","86,963","87,494","86,867","13.84K","0.50%"
"15-05-2024","86,865","85,521","86,975","85,172","22.75K","1.70%"
"14-05-2024","85,417","85,068","85,750","84,796","12.36K","0.63%"
"13-05-2024","84,886","84,598","85,234","84,377","8.43K","-0.03%"
"10-05-2024","84,910","84,761","85,812","84,382","15.39K","0.49%"
"09-05-2024","84,499","83,119","84,575","83,100","15.92K","1.81%"
"08-05-2024","82,994","82,878","83,166","82,300","11.71K","0.14%"
"07-05-2024","82,878","82,800","83,333","82,514","7.93K","-0.09%"
"06-05-2024","82,955","81,750","83,000","81,603","16.18K","4.07%"
"03-05-2024","79,712","80,299","80,300","79,395","0.03K","-0.30%"
"02-05-2024","79,950","80,044","80,200","79,000","0.21K","0.10%"
"01-05-2024","79,870","79,699","80,065","79,500","0.12K","0.46%"
"30-04-2024","79,508","80,341","80,410","79,250","0.85K","-1.66%"
"29-04-2024","80,852","80,723","80,970","80,150","6.13K","0.21%"
"26-04-2024","80,680","80,819","81,400","80,442","14.05K","0.00%"
"25-04-2024","80,684","80,298","81,127","79,702","11.66K","0.23%"
"24-04-2024","80,497","80,753","81,055","80,267","12.13K","-0.22%"
"23-04-2024","80,678","80,171","80,766","79,361","18.75K","0.12%"
"22-04-2024","80,579","82,500","82,500","80,425","23.55K","-3.51%"
"19-04-2024","83,507","83,795","83,795","82,736","14.68K","0.28%"
"18-04-2024","83,273","84,000","84,000","83,080","13.15K","-0.27%"
"17-04-2024","83,499","83,799","84,322","83,203","12.86K","-0.01%"
